FechayHora	P2_Hs	P6_Hs
29007	1.66	2.06
29007.25	1.46	2.02
29007.5	0.59	0.66
29007.75	0.94	1.4
29008	1.1	1.57
29008.25	0.97	1.32
29008.5	1.59	2.3
29008.75	0.63	0.96
29009	0.54	1.05
29009.25	0.37	0.65
29009.5	0.53	0.67
29009.75	1.47	1.48
29010	1.99	2.03
29010.25	2.35	2.39
29010.5	1.29	1.35
29010.75	1.29	1.37
29011	1.57	1.71
29011.25	1.81	1.96
29011.5	0.79	0.87
29011.75	0.43	0.53
29012	0.6	0.83
29012.25	0.81	1.51
29012.5	0.57	0.83
29012.75	0.75	0.91
29013	0.88	1.25
29013.25	2.1	2.42
29013.5	2.65	3.01
29013.75	1.81	2
29014	1.71	2.12
29014.25	1.92	2.24
29014.5	1.7	2.05
29014.75	0.77	0.8
29015	0.43	0.45
29015.25	0.62	0.64
29015.5	0.85	0.9
29015.75	0.89	0.94
29016	1.69	1.84
29016.25	1.4	1.63
29016.5	1.09	1.21
29016.75	0.86	0.93
29017	1.17	1.21
29017.25	1.25	1.3
29017.5	2.25	2.38
29017.75	1.87	2
29018	1.68	1.79
29018.25	1.57	1.66
29018.5	1.54	1.62
29018.75	1.34	1.37
29019	1.62	1.67
29019.25	1.46	1.49
29019.5	1.25	1.3
29019.75	0.88	0.91
29020	0.9	0.98
29020.25	0.62	0.74
29020.5	0.68	0.88
29020.75	0.31	0.73
29021	0.35	0.54
29021.25	0.31	0.64
29021.5	0.28	0.42
29021.75	0.56	0.77
29022	1.1	1.53
29022.25	1.29	1.76
29022.5	0.99	1.12
29022.75	0.71	0.83
29023	0.44	0.53
29023.25	0.7	0.86
29023.5	0.67	1.12
29023.75	0.87	1.37
29024	1.07	1.33
29024.25	1.2	1.65
29024.5	1.04	1.35
29024.75	1.13	1.49
29025	0.71	1.47
29025.25	0.93	1.74
29025.5	1.27	2.16
29025.75	1.49	2.21
29026	2.17	2.79
29026.25	1.35	1.62
29026.5	1.25	2.32
29026.75	1.17	2.28
29027	1.28	1.69
29027.25	0.37	0.43
29027.5	0.48	0.49
29027.75	0.49	0.5
29028	0.49	0.55
29028.25	0.87	1.09
29028.5	1.19	1.22
29028.75	0.59	0.51
29029	0.64	0.91
29029.25	0.86	1.18
29029.5	1.35	1.87
29029.75	0.87	1.27
29030	1.05	1.83
29030.25	1.05	1.61
29030.5	1.49	1.99
29030.75	2.24	2.48
29031	2.43	2.57
29031.25	1.51	1.77
29031.5	1.26	1.44
29031.75	1.07	1.34
29032	1.18	1.36
29032.25	0.58	0.69
29032.5	0.63	1.21
29032.75	0.52	0.84
29033	0.86	1.15
29033.25	0.91	1.04
29033.5	0.94	1.14
29033.75	0.82	1.1
29034	0.63	0.84
29034.25	0.62	0.78
29034.5	0.78	0.89
29034.75	1.01	1.19
29035	1.43	1.51
29035.25	0.94	0.96
29035.5	0.27	0.28
29035.75	0.29	0.3
29036	0.48	0.71
29036.25	1.1	1.61
29036.5	0.88	1.32
29036.75	0.88	1.14
29037	0.7	0.95
29037.25	0.75	0.99
29037.5	0.62	0.8
29037.75	0.59	0.86
29038	0.58	0.74
29038.25	0.59	0.63
29038.5	0.5	0.51
29038.75	1.17	1.18
29039	0.9	0.91
29039.25	0.92	0.96
29039.5	0.67	0.73
29039.75	0.66	0.88
29040	0.44	0.83
29040.25	0.76	1.4
29040.5	1.44	2
29040.75	1.08	1.19
29041	0.87	1.09
29041.25	1.35	1.67
29041.5	1.37	1.72
29041.75	1.09	1.45
29042	0.88	1.38
29042.25	1.05	1.58
29042.5	1.11	1.55
29042.75	1.56	2.22
29043	2.25	2.52
29043.25	2.13	2.4
29043.5	1.84	1.97
29043.75	1.5	1.6
29044	1.06	1.18
29044.25	0.91	0.99
29044.5	0.77	0.8
29044.75	0.73	1.1
29045	1.11	1.59
29045.25	1.36	1.92
29045.5	1.43	1.86
29045.75	1.32	1.73
29046	1.19	1.56
29046.25	1.01	1.36
29046.5	0.88	1.16
29046.75	0.78	0.97
29047	0.76	1.06
29047.25	1.01	1.43
29047.5	0.97	1.06
29047.75	0.69	0.82
29048	0.38	0.42
29048.25	0.12	0.23
29048.5	0.57	0.6
29048.75	0.99	1
29049	0.79	0.83
29049.25	0.56	0.76
29049.5	0.43	0.94
29049.75	1.01	1.6
29050	0.7	1.01
29050.25	0.88	1.09
29050.5	1.18	1.35
29050.75	1.28	1.41
29051	1.02	1.37
29051.25	0.96	1.91
29051.5	1	1.78
29051.75	0.37	0.81
29052	0.62	1.25
29052.25	0.5	1.08
29052.5	0.27	0.45
29052.75	0.26	0.49
29053	0.43	0.71
29053.25	0.31	0.64
29053.5	1.04	1.12
29053.75	1.88	1.91
29054	1.49	1.55
29054.25	1.47	1.6
29054.5	1.23	1.39
29054.75	0.27	0.59
29055	1.32	1.86
29055.25	0.83	1.58
29055.5	0.74	1.17
29055.75	0.58	0.91
29056	0.63	1.18
29056.25	1.17	1.79
29056.5	1.4	1.83
29056.75	1.44	2.49
29057	1.61	2.2
29057.25	1.45	1.8
29057.5	1.5	1.93
29057.75	1.25	2.01
29058	1.35	1.78
29058.25	1.57	1.95
29058.5	1.84	2.24
29058.75	2.05	2.41
29059	2.03	2.25
29059.25	1.58	1.73
29059.5	1.08	1.14
29059.75	1.48	1.48
29060	1.33	1.37
29060.25	1.5	1.54
29060.5	1.27	1.32
29060.75	1.33	1.38
29061	1.03	1.08
29061.25	0.89	0.96
29061.5	0.78	0.82
29061.75	0.63	0.66
29062	1.04	1.13
29062.25	1.73	1.94
29062.5	2.32	2.6
29062.75	2.95	3.29
29063	3.24	3.53
29063.25	2.73	2.96
29063.5	2.43	2.62
29063.75	2.29	2.47
29064	2.02	2.17
29064.25	1.71	1.86
29064.5	1.97	2.16
29064.75	1.44	1.61
29065	1.4	1.66
29065.25	1.11	1.38
29065.5	0.92	1.15
29065.75	1.12	1.39
29066	0.99	1.41
29066.25	0.42	0.63
29066.5	0.54	0.71
29066.75	0.8	0.93
29067	0.64	0.86
29067.25	1.35	1.89
29067.5	1.45	2.03
29067.75	0.67	0.68
29068	0.06	0.07
29068.25	1.37	1.4
29068.5	1.4	1.48
29068.75	1.32	1.47
29069	1.66	1.77
29069.25	1.36	1.48
29069.5	0.82	0.92
29069.75	0.85	1.18
29070	0.65	1
29070.25	0.84	1.22
29070.5	0.8	1.08
29070.75	1.01	1.54
29071	1.01	1.36
29071.25	1.18	1.43
29071.5	0.95	1.16
29071.75	0.88	1.09
29072	0.82	1.1
29072.25	0.92	1.15
29072.5	0.9	1.09
29072.75	0.9	1.07
29073	0.96	1.17
29073.25	0.8	1.07
29073.5	0.79	1.32
29073.75	1.21	1.67
29074	1.16	1.71
29074.25	1.37	1.8
29074.5	1.26	1.78
29074.75	1.2	1.96
29075	1.43	2.37
29075.25	1.02	1.52
29075.5	1.71	2.15
29075.75	1.79	2.45
29076	1.63	1.93
29076.25	1.51	1.88
29076.5	1.66	1.98
29076.75	1.65	2.28
29077	1.97	2.68
29077.25	1.59	2.11
29077.5	1.87	2.05
29077.75	1.35	1.36
29078	0.76	0.94
29078.25	1.3	1.93
29078.5	1.34	2.09
29078.75	1.6	2.2
29079	0.91	1.13
29079.25	1.25	1.35
29079.5	1.09	1.27
29079.75	0.99	1.25
29080	1.09	1.52
29080.25	1.21	1.76
29080.5	0.92	1.41
29080.75	0.79	1.31
29081	0.36	0.49
29081.25	0.52	0.75
29081.5	0.77	1.05
29081.75	1.19	1.65
29082	2.37	2.9
29082.25	1.53	2.19
29082.5	1.34	1.83
29082.75	1.43	2.17
29083	1.46	2.27
29083.25	1.3	1.76
29083.5	1.32	1.62
29083.75	0.87	1.07
29084	0.45	0.56
29084.25	0.62	0.71
29084.5	0.98	1.06
29084.75	1.24	1.23
29085	1.43	1.44
29085.25	1.65	1.7
29085.5	1.16	1.2
29085.75	0.93	0.98
29086	0.9	1.21
29086.25	0.58	0.89
29086.5	0.83	1.14
29086.75	1.3	1.7
29087	1.18	1.54
29087.25	0.96	1.26
29087.5	0.99	1.31
29087.75	1.02	1.28
29088	0.92	1.09
29088.25	0.96	1.12
29088.5	1.5	1.54
29088.75	1.38	1.42
29089	1.11	1.16
29089.25	0.92	0.97
29089.5	0.75	0.81
29089.75	0.65	0.74
29090	0.63	0.87
29090.25	0.56	0.77
29090.5	0.47	0.58
29090.75	0.51	0.63
29091	0.64	0.77
29091.25	0.92	1.02
29091.5	1.1	1.21
29091.75	1.78	1.8
29092	1.77	1.8
29092.25	1.16	1.21
29092.5	1.3	1.41
29092.75	1.19	1.21
29093	0.94	0.96
29093.25	1.01	1.05
29093.5	1.01	1.07
29093.75	0.95	1.01
29094	0.92	0.98
29094.25	0.9	0.98
29094.5	0.96	1.08
29094.75	1.31	1.54
29095	0.98	1.15
29095.25	0.92	1.07
29095.5	0.45	0.58
29095.75	0.63	0.91
29096	0.95	1.1
29096.25	0.78	1.15
29096.5	0.92	1.11
29096.75	1.27	1.51
29097	2.48	2.99
29097.25	3.65	4.42
29097.5	4.87	5.96
29097.75	4.7	5.71
29098	3.72	4.17
29098.25	3.3	3.67
29098.5	2.31	2.57
29098.75	1.82	2.03
29099	1.76	1.94
29099.25	1.55	1.8
29099.5	0.88	1.36
29099.75	0.95	1.18
29100	0.75	1.21
29100.25	0.67	1.28
29100.5	1.32	1.69
29100.75	1.7	2.03
29101	1.34	1.83
29101.25	1.72	2.45
29101.5	1.49	2.18
29101.75	1.3	1.98
29102	2.21	3.23
29102.25	2.28	3.03
29102.5	1.86	2.32
